disease,foods_to_eat,foods_to_avoid,meal_plan,hydration,supplements
Common Cold,"Chicken soup, citrus fruits, ginger, garlic, honey, broth, warm herbal teas","Ice cream, cold beverages, dairy (mucus), processed foods, alcohol","Breakfast: Oatmeal with honey and ginger tea. Lunch: Chicken vegetable soup. Dinner: Steamed rice with garlic broth. Snacks: Orange, warm lemon water.","8-10 glasses warm water daily. Ginger tea 3x daily.","Vitamin C 500mg, Zinc 10mg, Vitamin D 1000 IU"
Influenza,"Broth soups, bananas, rice, toast, applesauce, yogurt, citrus, eggs","Greasy foods, alcohol, caffeine, sugar, dairy during fever","Breakfast: Banana and toast with ginger tea. Lunch: Chicken broth with soft noodles. Dinner: Plain rice with steamed vegetables. Snacks: Applesauce, electrolyte drinks.","Minimum 10 glasses water. Coconut water for electrolytes.","Vitamin C 1000mg, Elderberry extract, Zinc 15mg"
COVID-19,"Fruits rich in Vitamin C, leafy greens, proteins, yogurt, nuts, seeds, ginger, turmeric","Processed foods, sugar, alcohol, fast food, high-sodium foods","Breakfast: Greek yogurt with berries and nuts. Lunch: Lentil soup with whole grain bread. Dinner: Grilled fish with steamed broccoli. Snacks: Citrus fruit, handful of almonds.","8-10 glasses water. Warm turmeric milk at night.","Vitamin D 2000 IU, Vitamin C 1000mg, Zinc 50mg, Omega-3"
Migraine,"Magnesium-rich foods (spinach, almonds), omega-3 fish, ginger, leafy greens, water-rich foods","Red wine, aged cheese, chocolate, MSG, processed meats, caffeine (or sudden withdrawal), skipping meals","Breakfast: Oatmeal with almonds and banana. Lunch: Spinach salad with grilled salmon. Dinner: Brown rice with steamed vegetables. Snacks: Sunflower seeds, ginger tea.","8 glasses water. Avoid dehydration — major trigger.","Magnesium 400mg, Riboflavin (B2) 400mg, CoQ10 100mg"
Hypertension,"Leafy greens, berries, oats, bananas, beets, garlic, fatty fish, unsalted nuts","Salt, processed foods, red meat, alcohol, caffeine, pickled foods, full-fat dairy","Breakfast: Oatmeal with banana and berries. Lunch: Grilled chicken salad with olive oil dressing. Dinner: Baked salmon with steamed vegetables. Snacks: Unsalted almonds, apple.","8 glasses water. Avoid sodas and sugary drinks.","Potassium, Magnesium 300mg, Omega-3, CoQ10"
Diabetes Type 2,"Whole grains, leafy greens, legumes, nuts, berries, fatty fish, eggs, Greek yogurt","White bread, sugary drinks, candy, white rice, fried foods, high-GI fruits, alcohol","Breakfast: Scrambled eggs with spinach. Lunch: Lentil and vegetable soup with rye bread. Dinner: Grilled chicken with broccoli and quinoa. Snacks: Handful of nuts, apple with peanut butter.","8 glasses water. Avoid fruit juice and sodas.","Berberine, Chromium, Magnesium, Vitamin D"
Asthma,"Apples, bananas, ginger, garlic, avocados, spinach, turmeric, salmon, flaxseeds","Sulfites (wine, dried fruit), salicylates, dairy, food additives, cold foods","Breakfast: Banana smoothie with flaxseeds and ginger. Lunch: Avocado and spinach salad with lemon. Dinner: Baked salmon with roasted garlic vegetables. Snacks: Apple, turmeric golden milk.","8-10 glasses warm water daily.","Vitamin D 2000 IU, Magnesium 300mg, Omega-3, Vitamin C"
Anemia,"Red meat, spinach, lentils, beans, tofu, fortified cereals, pumpkin seeds, dried apricots","Tea with meals (blocks iron), coffee, calcium-rich foods with iron, alcohol","Breakfast: Fortified cereal with orange juice. Lunch: Lentil soup with iron-rich bread. Dinner: Lean beef/tofu stir-fry with spinach. Snacks: Dried apricots, pumpkin seeds.","8 glasses water. Orange juice with meals helps iron absorption.","Iron (as directed), Vitamin C 500mg, Folic Acid, Vitamin B12"
Gastritis,"Oatmeal, bananas, ginger, lean proteins, low-acid vegetables, whole grains, probiotic yogurt","Spicy foods, alcohol, coffee, citrus, tomatoes, fried foods, carbonated drinks","Breakfast: Oatmeal with banana and honey. Lunch: Steamed chicken with plain rice and boiled vegetables. Dinner: Baked fish with sweet potato. Snacks: Plain yogurt, rice crackers.","8 glasses water. Warm herbal teas like chamomile.","Probiotics, DGL Licorice, Vitamin E, Zinc Carnosine"
Anxiety Disorder,"Fatty fish, dark chocolate, eggs, yogurt, blueberries, chamomile, turmeric, whole grains","Caffeine, alcohol, sugar, refined carbs, trans fats, energy drinks","Breakfast: Greek yogurt with blueberries and seeds. Lunch: Salmon salad with avocado. Dinner: Whole grain pasta with vegetables and lean protein. Snacks: Dark chocolate (70%+), chamomile tea.","8 glasses water. Chamomile and lavender tea evening.","Magnesium 300mg, Omega-3, L-theanine, Ashwagandha, B-complex"
Depression,"Omega-3 rich fish, dark leafy greens, walnuts, berries, turkey, eggs, fermented foods","Alcohol, sugar, processed foods, refined carbs, fast food, caffeine excess","Breakfast: Eggs with whole grain toast and berries. Lunch: Tuna and vegetable wrap. Dinner: Grilled salmon with sweet potato and greens. Snacks: Walnuts, dark chocolate.","8 glasses water. Warm herbal teas.","Omega-3, Vitamin D 2000 IU, B-complex, Magnesium, SAM-e"
Urinary Tract Infection,"Cranberries, blueberries, probiotic yogurt, garlic, ginger, cucumber, celery, parsley","Caffeine, alcohol, spicy foods, sugar, citrus (can irritate), carbonated drinks","Breakfast: Cranberry juice (unsweetened) and yogurt with berries. Lunch: Cucumber and parsley salad with grilled chicken. Dinner: Steamed fish with garlic and vegetables. Snacks: Blueberries, probiotic drink.","10-12 glasses water daily. Unsweetened cranberry juice.","D-Mannose, Probiotics, Vitamin C 500mg"
Arthritis,"Fatty fish, olive oil, berries, broccoli, nuts, green tea, ginger, turmeric","Red meat, processed foods, sugar, refined carbs, saturated fats, alcohol, nightshades","Breakfast: Berry smoothie with flaxseeds and green tea. Lunch: Salmon with roasted broccoli. Dinner: Turmeric chicken with quinoa and spinach. Snacks: Walnuts, cherries.","8 glasses water. Green tea and turmeric tea daily.","Omega-3 3g, Glucosamine, Chondroitin, Vitamin D, Turmeric/Curcumin"
Thyroid Disorder,"Iodine-rich foods (seaweed, fish), selenium foods (Brazil nuts), antioxidant fruits, lean proteins","Soy (interferes with meds), raw cruciferous vegetables (in excess), gluten (hashimoto's), processed foods","Breakfast: Eggs with whole grain toast (avoid right after thyroid meds). Lunch: Grilled fish with rice and salad. Dinner: Lean chicken with roasted vegetables. Snacks: Brazil nuts (2 per day), berries.","8 glasses water. Avoid coffee with thyroid medication.","Selenium 200mcg, Vitamin D, Zinc, Iodine (only if deficient)"
Dengue Fever,"Papaya leaf juice, coconut water, fresh juices, soups, rice, bananas, yogurt","Spicy foods, oily foods, alcohol, caffeinated drinks, NSAIDs risk foods","Breakfast: Banana with rice porridge and coconut water. Lunch: Clear chicken soup with plain rice. Dinner: Steamed fish with rice and boiled vegetables. Snacks: Fresh fruit juice, papaya.","10-12 glasses fluids. Coconut water and ORS for electrolytes.","Vitamin C 1000mg, Papaya leaf extract, Vitamin K foods"
Pneumonia,"High-protein foods, fruits, vegetables, warm soups, honey, ginger, garlic, broth","Alcohol, smoking, cold foods, dairy (excess mucus), processed foods","Breakfast: Warm oatmeal with honey and ginger tea. Lunch: Chicken broth soup with vegetables. Dinner: Steamed rice with boiled chicken and vegetables. Snacks: Warm lemon honey water, banana.","10+ glasses warm fluids daily. Herbal teas with honey.","Vitamin C 1000mg, Vitamin D 2000 IU, Zinc, Probiotics"
Irritable Bowel Syndrome,"Low-FODMAP foods, cooked vegetables, rice, bananas, lean proteins, oat bran, peppermint","High-FODMAP foods, dairy, gluten, raw vegetables, beans, broccoli, onions, garlic, caffeine, alcohol","Breakfast: Rice porridge with banana. Lunch: Grilled chicken with rice and cooked zucchini. Dinner: Baked salmon with potato and carrot. Snacks: Rice cakes, kiwi fruit.","8 glasses water. Peppermint tea after meals.","Probiotics (Lactobacillus), Peppermint oil capsules, Psyllium husk, Magnesium"
Eczema,"Anti-inflammatory foods, fatty fish, fruits, vegetables, probiotic foods, olive oil, quercetin foods","Dairy, eggs (if allergic), gluten, soy, nightshades, sugar, alcohol, processed foods","Breakfast: Dairy-free smoothie with berries and hemp seeds. Lunch: Grilled salmon with roasted vegetables. Dinner: Chicken stir-fry with anti-inflammatory spices. Snacks: Apple with almond butter, blueberries.","8 glasses water. Evening primrose oil tea.","Omega-3 3g, Probiotics, Vitamin D, Evening Primrose Oil, Vitamin E"
Sinusitis,"Warm soups, ginger, garlic, turmeric, horseradish, spicy foods (natural decongestant), citrus","Dairy (thickens mucus), sugar, alcohol, gluten (inflammatory), cold foods, processed foods","Breakfast: Warm lemon ginger tea with oatmeal. Lunch: Spicy chicken soup with garlic and turmeric. Dinner: Steamed vegetables with brown rice and ginger. Snacks: Citrus fruit, warm broth.","10 glasses warm water. Warm herbal teas constantly.","Vitamin C 1000mg, Zinc, NAC (N-Acetyl Cysteine), Quercetin"
Kidney Stones,"Water, lemon juice, oranges, low-oxalate vegetables, lean proteins, calcium-rich foods with meals","High-oxalate foods (spinach, nuts, beets), salt, animal protein excess, sugar, vitamin C supplements excess","Breakfast: Low-fat yogurt with banana and lemon water. Lunch: Grilled chicken with cucumber salad and lemon dressing. Dinner: Fish with rice and low-oxalate vegetables. Snacks: Apple, citrus fruit.","12+ glasses water daily. Lemon water especially beneficial.","Magnesium Citrate 400mg, Vitamin B6, Potassium Citrate"
